0,Test 1 | Seed 91 | Reward 10.0
Test 2 | Seed 767 | Reward 9.0
Test 3 | Seed 1401 | Reward 10.0
Test 4 | Seed 1724 | Reward 8.0
Test 5 | Seed 2396 | Reward 10.0
Test 6 | Seed 459 | Reward 10.0
Test 7 | Seed 2264 | Reward 10.0
Test 8 | Seed 1324 | Reward 9.0
Test 9 | Seed 101 | Reward 9.0
Test 10 | Seed 74 | Reward 10.0
Test 11 | Seed 1425 | Reward 9.0
Test 12 | Seed 304 | Reward 10.0
Test 13 | Seed 2708 | Reward 9.0
Test 14 | Seed 2840 | Reward 10.0
Test 15 | Seed 1747 | Reward 10.0
Test 16 | Seed 1780 | Reward 9.0
Test 17 | Seed 2161 | Reward 9.0
Test 18 | Seed 2283 | Reward 8.0
Test 19 | Seed 2417 | Reward 9.0
Test 20 | Seed 1328 | Reward 10.0
Test 21 | Seed 2541 | Reward 10.0
Test 22 | Seed 1011 | Reward 9.0
Test 23 | Seed 1870 | Reward 9.0
Test 24 | Seed 769 | Reward 9.0
Test 25 | Seed 1376 | Reward 10.0
Test 26 | Seed 328 | Reward 9.0
Test 27 | Seed 502 | Reward 9.0
Test 28 | Seed 2631 | Reward 9.0
Test 29 | Seed 624 | Reward 10.0
Test 30 | Seed 2768 | Reward 10.0
Test 31 | Seed 1686 | Reward 9.0
Test 32 | Seed 48 | Reward 9.0
Test 33 | Seed 2917 | Reward 10.0
Test 34 | Seed 2387 | Reward 9.0
Test 35 | Seed 1855 | Reward 10.0
Test 36 | Seed 2682 | Reward 9.0
Test 37 | Seed 769 | Reward 9.0
Test 38 | Seed 63 | Reward 10.0
Test 39 | Seed 2966 | Reward 10.0
Test 40 | Seed 1266 | Reward 10.0
Test 41 | Seed 1713 | Reward 10.0
Test 42 | Seed 1857 | Reward 9.0
Test 43 | Seed 822 | Reward 9.0
Test 44 | Seed 2826 | Reward 10.0
Test 45 | Seed 2139 | Reward 9.0
Test 46 | Seed 914 | Reward 10.0
Test 47 | Seed 548 | Reward 10.0
Test 48 | Seed 64 | Reward 8.0
Test 49 | Seed 1865 | Reward 8.0
Test 50 | Seed 1169 | Reward 10.0
Test 51 | Seed 2136 | Reward 9.0
Test 52 | Seed 1375 | Reward 11.0
Test 53 | Seed 1429 | Reward 8.0
Test 54 | Seed 264 | Reward 9.0
Test 55 | Seed 234 | Reward 9.0
Test 56 | Seed 1526 | Reward 9.0
Test 57 | Seed 1314 | Reward 9.0
Test 58 | Seed 1263 | Reward 8.0
Test 59 | Seed 2182 | Reward 9.0
Test 60 | Seed 1788 | Reward 9.0
Test 61 | Seed 1946 | Reward 9.0
Test 62 | Seed 996 | Reward 10.0
Test 63 | Seed 657 | Reward 9.0
Test 64 | Seed 2671 | Reward 9.0
Test 65 | Seed 81 | Reward 10.0
Test 66 | Seed 2870 | Reward 10.0
Test 67 | Seed 518 | Reward 8.0
Test 68 | Seed 2481 | Reward 9.0
Test 69 | Seed 2663 | Reward 9.0
Test 70 | Seed 1949 | Reward 10.0
Test 71 | Seed 332 | Reward 8.0
Test 72 | Seed 1994 | Reward 10.0
Test 73 | Seed 702 | Reward 10.0
Test 74 | Seed 1541 | Reward 9.0
Test 75 | Seed 1359 | Reward 10.0
Test 76 | Seed 216 | Reward 9.0
Test 77 | Seed 480 | Reward 9.0
Test 78 | Seed 1253 | Reward 10.0
Test 79 | Seed 2825 | Reward 10.0
Test 80 | Seed 741 | Reward 10.0
Test 81 | Seed 1775 | Reward 8.0
Test 82 | Seed 954 | Reward 9.0
Test 83 | Seed 41 | Reward 9.0
Test 84 | Seed 932 | Reward 8.0
Test 85 | Seed 1771 | Reward 10.0
Test 86 | Seed 1826 | Reward 9.0
Test 87 | Seed 1136 | Reward 10.0
Test 88 | Seed 1434 | Reward 9.0
Test 89 | Seed 1539 | Reward 10.0
Test 90 | Seed 2158 | Reward 10.0
Test 91 | Seed 985 | Reward 10.0
Test 92 | Seed 1016 | Reward 8.0
Test 93 | Seed 293 | Reward 10.0
Test 94 | Seed 748 | Reward 8.0
Test 95 | Seed 1188 | Reward 8.0
Test 96 | Seed 470 | Reward 10.0
Test 97 | Seed 331 | Reward 9.0
Test 98 | Seed 1031 | Reward 11.0
